#{"t_start": 1773675542.497848, "env_id": "None"}
r,l,t
20.084107,591,3.029839
71.937781,437,3.400692
40.865934,337,3.701676
47.225753,220,3.877088
70.471223,324,4.160226
77.884237,254,5.637562
50.740245,574,5.975667
76.669664,354,6.306118
66.497172,416,6.706735
71.081386,282,6.885143
78.415689,242,7.046038
52.5116,501,8.843252
-0.198318,1000,9.59165
26.458987,443,9.951742
81.663624,289,11.485192
70.126863,274,11.64781
95.148819,161,11.786445
92.324378,232,11.977529
85.282757,252,12.164343
72.129027,351,12.40304
2.059507,973,14.358593
92.265489,232,14.496969
86.025113,247,14.747084
87.601333,187,14.887482
71.895003,219,15.060952
91.945292,163,15.163993
70.86649,137,15.260062
82.437527,168,15.387652
71.136562,192,15.586282
78.197409,174,15.755888
76.732668,323,17.605593
85.358919,168,17.744023
70.69975,143,17.884985
50.230307,155,18.011349
82.815221,154,18.139875
91.843366,176,18.295352
95.076249,178,18.439658
85.507662,224,18.630155
85.207939,279,18.840713
79.673172,169,18.979314
76.476356,141,20.435695
93.158652,166,20.538345
78.879878,266,20.706509
75.485762,291,20.949667
74.009005,188,21.077622
85.580495,200,21.2359
65.7025,135,21.357621
68.791911,152,21.501096
78.200695,302,21.760113
78.779833,266,21.972543
79.03542,125,23.447658
87.291134,136,23.532126
82.411949,219,23.660694
73.834567,183,23.769462
47.088026,212,23.922614
63.592297,131,24.026116
80.889653,273,24.22754
77.686984,157,24.336681
87.703345,238,24.478285
57.434291,137,24.569862
89.721406,127,24.650991
70.476397,163,25.982205
87.417467,130,26.064108
88.908689,179,26.166417
79.402598,194,26.306787
76.988173,107,26.393623
95.058094,162,26.506605
87.93303,195,26.653576
89.075392,113,26.765432
72.609024,184,26.932699
59.223317,132,27.056519
96.087453,162,27.175825
71.44414,155,27.292965
70.097394,198,27.524966
96.753271,152,28.98643
94.144951,147,29.07655
76.708147,224,29.208077
80.00274,238,29.352553
87.039115,146,29.496901
94.954046,201,29.665526
90.587556,192,29.774402
59.470138,549,30.122126
90.852849,146,30.233205
90.492459,276,31.725341
77.695695,268,31.885604
89.40138,284,32.066118
44.240263,435,32.452401
72.245673,343,32.759094
64.716266,337,33.076808
83.513085,222,33.244169
62.041136,434,35.000453
81.077246,275,35.168503
87.001144,183,35.305513
76.046532,201,35.467895
61.563979,491,35.881531
51.769623,326,36.122038
46.006134,396,38.115751
77.017287,190,38.227545
66.411805,408,38.533338
-9.041917,751,39.203667
70.266663,188,39.368551
72.381686,162,39.515631
75.571509,351,41.077867
80.396224,177,41.179215
75.176524,263,41.386772
77.077129,187,41.548742
79.091303,285,41.731792
85.526686,213,41.854198
76.879638,176,41.959869
80.390169,231,42.096416
59.252846,442,43.919919
78.971312,162,44.020856
45.744096,249,44.17963
