#{"t_start": 1773675695.5874863, "env_id": "None"}
r,l,t
61.657418,184,2.66178
48.169209,195,2.850528
51.900368,450,3.15608
72.494895,243,3.435538
-16.089332,809,4.117313
29.097611,272,5.823457
70.629626,219,5.955755
54.80324,325,6.159709
73.85314,159,6.3119
70.613251,251,6.519971
78.66341,180,6.662547
61.495382,124,6.736622
7.239019,771,8.674371
60.005069,217,8.808498
77.009696,145,8.885322
71.672613,208,9.000235
81.867636,168,9.146494
74.085868,227,9.35058
47.18749,333,9.643186
15.353562,586,10.136943
60.178741,192,11.580922
39.923433,249,11.734321
67.314884,159,11.835453
47.596765,189,12.009693
76.423053,273,12.251547
76.080591,144,12.379616
69.028673,272,12.592077
54.033565,354,12.926252
74.075621,183,13.089963
62.827333,167,14.861504
81.502168,155,14.959056
67.190627,137,15.039976
61.050284,135,15.132375
62.056834,199,15.295401
64.055129,162,15.443744
55.998514,172,15.603834
69.994496,129,15.720964
74.657595,173,15.863043
75.024562,157,16.006377
62.524323,159,16.141027
70.928347,187,16.302958
87.522117,165,16.45328
48.208477,291,18.126898
65.838,183,18.232368
50.004878,344,18.650739
84.862319,199,18.85968
79.702558,144,18.952507
77.878824,144,19.100442
77.440624,144,19.254503
47.793069,164,19.418075
75.682547,287,19.621498
63.640553,162,19.716351
91.293811,154,21.281376
48.926734,438,21.51863
80.560888,137,21.64571
49.915405,127,21.745306
82.168625,154,21.888414
56.47594,155,22.009121
79.352914,189,22.143667
63.873859,305,22.357496
75.972359,144,22.443636
71.869216,173,22.58884
67.186159,240,24.172724
70.051539,283,24.340005
84.176529,157,24.507854
88.757294,163,24.658262
61.217581,318,24.890427
78.842777,230,25.075686
71.540435,177,25.21497
65.214883,186,25.375739
76.744348,226,25.553216
82.446212,205,27.012689
82.708986,233,27.14923
69.5632,105,27.210234
81.803486,153,27.29215
73.869334,266,27.529708
68.213539,279,27.7367
81.403491,249,27.908489
76.131402,165,28.021774
71.089785,191,28.140357
60.077091,376,28.409196
69.1049,181,29.78001
66.789444,154,29.875823
63.614154,111,29.935613
73.19577,125,30.028567
77.173348,135,30.133583
77.511148,154,30.222414
74.953596,157,30.32556
81.881638,137,30.454916
38.311014,289,30.687735
71.199839,161,30.813358
55.011621,141,30.930039
76.884507,169,31.068014
74.057567,171,32.469579
38.844248,260,32.626364
73.255938,141,32.702052
73.9365,171,32.803743
44.038977,140,32.910589
62.045532,100,32.980575
63.547469,202,33.156792
67.024127,148,33.245386
84.037203,123,33.411438
49.723232,143,33.547312
67.529824,159,33.667783
52.904881,332,33.957261
77.270839,231,35.51975
83.470093,187,35.6309
47.798775,133,35.70446
79.266534,118,35.791296
85.18145,194,35.943768
49.625613,134,36.032541
68.292044,103,36.111684
49.556107,145,36.2276
72.671122,149,36.336171
77.287791,183,36.496523
72.063315,249,36.680204
74.250819,195,36.800375
48.356403,112,36.86918
62.310612,116,38.193183
83.651468,183,38.300653
68.152791,105,38.357423
81.251215,136,38.426332
72.363629,183,38.592598
75.401691,199,38.780882
69.922909,205,39.012487
47.432823,136,39.103459
83.656481,147,39.221183
73.339337,118,39.325068
70.810922,143,39.443917
83.438561,216,39.630153
86.936879,163,39.779776
66.358015,267,41.191859
77.206034,197,41.312253
47.686838,150,41.401239
42.110685,174,41.503909
62.835475,232,41.658786
83.354653,245,41.82042
74.488527,248,42.003702
58.958823,207,42.153313
78.623117,183,42.272351
79.227176,168,43.811565
64.838867,204,43.912838
74.424033,258,44.045992
81.506248,277,44.253471
76.009749,230,44.466554
79.469904,216,44.689566
70.154428,209,44.822766
79.378062,209,45.008815
86.69846,171,45.162298
79.460155,142,45.304849
64.104354,155,46.666481
72.776147,277,46.818367
86.287714,162,46.902147
50.579307,293,47.1533
75.211713,232,47.353517
88.552725,170,47.464394
80.781809,163,47.600038
46.414553,171,47.775135
86.440651,159,47.924869
72.833831,224,48.102335
73.719632,148,48.191925
66.739964,260,49.487461
74.180163,180,49.59002
70.205033,176,49.710595
52.877636,213,49.91094
26.368954,664,50.466535
44.543217,569,50.905884
82.853988,149,52.130874
86.642148,170,52.216102
64.284497,308,52.398527
68.350767,313,52.625055
74.173795,319,52.92962
74.746067,150,53.051395
64.157225,310,53.370479
34.72708,512,55.171174
49.369539,265,55.311375
38.559323,224,55.440722
62.023613,237,55.611813
45.731788,162,55.762695
76.297068,239,55.947567
76.003926,195,56.0939
71.923792,358,56.369657
75.074516,288,57.813792
48.356391,309,57.996456
70.984187,238,58.156456
54.814988,351,58.408029
60.281257,146,58.53531
61.708918,189,58.705335
71.021373,311,58.971758
64.173456,382,59.299334
60.373659,343,60.863754
52.330212,201,60.987545
55.993695,407,61.278532
63.99233,357,61.510353
74.584036,268,61.705472
0.609329,834,63.674607
52.508132,128,63.740416
53.394013,128,63.877325
58.977225,189,64.030623
57.14706,335,64.25794
68.676813,131,64.337262
-37.489404,332,64.711902
61.59882,140,64.831771
75.757178,335,66.283774
82.256443,158,66.372644
77.851645,260,66.507532
69.972178,175,66.670532
67.858291,297,66.92723
54.382125,288,67.110929
66.070589,327,67.370383
66.952892,266,67.577201
83.613932,155,67.708719
64.392022,307,69.17577
74.590291,188,69.278069
78.018823,254,69.417779
75.868629,274,69.627143
53.926346,142,69.719986
63.822288,360,69.934083
69.701747,298,70.117115
45.548123,213,70.251414
57.563827,457,71.715873
53.546554,173,71.810529
67.677557,140,71.912003
60.061394,350,72.196264
66.936208,124,72.28824
25.280409,232,72.447962
61.050062,324,72.646835
62.466383,327,72.870637
53.941171,132,74.734051
77.465907,280,74.956961
59.451895,226,75.100947
64.426425,289,75.325364
38.266612,202,75.458578
80.920133,176,75.58737
72.843306,181,75.708966
56.170357,128,75.803414
47.247041,153,75.926512
75.968364,166,76.061058
47.425675,413,77.582647
26.869157,414,77.854807
49.521489,469,78.266959
58.943388,191,78.42024
68.726745,122,78.534629
57.96632,371,78.813939
69.292896,371,80.274016
